nome_da_maquininha;código da maquininha;grupo;débito;pré-pago débito;crédito;pré-pago crédito;taxa_credito_parcelado_2;taxa_credito_parcelado_3;taxa_credito_parcelado_4;taxa_credito_parcelado_5;taxa_credito_parcelado_6;taxa_credito_parcelado_7;taxa_credito_parcelado_8;taxa_credito_parcelado_9;taxa_credito_parcelado_10;taxa_credito_parcelado_11;taxa_credito_parcelado_12
UAG 08;11244065;cxd (bras);;;;;;;;;;;;;;;
UAC 15;423305;cxd (bras);;;;;;;;;;;;;;;
JEC 10;397500;cxd (bras);;;;;;;;;;;;;;;
DSC 04;1670459;cxd (bras);;;;;;;;;;;;;;;
MFC 07;1280891;cxd (bras);;;;;;;;;;;;;;;
HNR 06;SN149744;cxd (bras);;;;;;;;;;;;;;;
SZG 03;14472297;cxd (bras);;;;;;;;;;;;;;;
FTR 04 - DEV;SN680547;devolvida;;;;;;;;;;;;;;;
POG 04;13496424;devolvida;;;;;;;;;;;;;;;
POG 05;13409608;devolvida;;;;;;;;;;;;;;;
GSG 04;13987615;devolvida;;;;;;;;;;;;;;;
ENG 06;14444728;devolvida;;;;;;;;;;;;;;;
TFR 04;SN059261;devolvida;;;;;;;;;;;;;;;
PLR 01;SN105280;devolvido;;;;;;;;;;;;;;;
PLR 04;SN585661;devolvido;;;;;;;;;;;;;;;
CMR 19;FC185373;donachen;;;;;;;;;;;;;;;
PLX 01;APT29D8D;donachen;;;;;;;;;;;;;;;
ENX 01;APT2A928;donachen;;;;;;;;;;;;;;;
MAG 06;14831884;donachen2;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.11;0.12;0.13;0.13;0.14;0.14
AZG 07;12114335;esp.jing;;;;;;;;;;;;;;;
MP 05;1071628;estoque;;;;;;;;;;;;;;;
TFG 02(ret);11956444;estoque;;;;;;;;;;;;;;;
TFG 03;11956456;estoque;;;;;;;;;;;;;;;
TFG 04;11956445;estoque;;;;;;;;;;;;;;;
TFG 05;11956465;estoque;;;;;;;;;;;;;;;
ALG 06;12742280;estoque;;;;;;;;;;;;;;;
SVG 10;12742761;estoque;;;;;;;;;;;;;;;
FZG 02;12774876;estoque;;;;;;;;;;;;;;;
FZG 05;12774874;estoque;;;;;;;;;;;;;;;
PLC 01;152062;estoque;;;;;;;;;;;;;;;
PLC 02;152384;estoque;;;;;;;;;;;;;;;
STC 01;1540049;estoque;;;;;;;;;;;;;;;
STC 02;1540416;estoque;;;;;;;;;;;;;;;
RNC 01;1738197;estoque;;;;;;;;;;;;;;;
RNC 02;1738178;estoque;;;;;;;;;;;;;;;
RNC 05;267881;estoque;;;;;;;;;;;;;;;
RNC 06;292141;estoque;;;;;;;;;;;;;;;
RNC 07;281015;estoque;;;;;;;;;;;;;;;
RNC 09;279762;estoque;;;;;;;;;;;;;;;
MFR 01-dev;SN942221;estoque;;;;;;;;;;;;;;;
CMR 103;SN021011;estoque;;;;;;;;;;;;;;;
WFG 01;13491619;estoque;;;;;;;;;;;;;;;
TFG 05;JA8400500794;estoque;;;;;;;;;;;;;;;
NWR 01;SN837659;estoque;;;;;;;;;;;;;;;
NWR 02;SN440084;estoque;;;;;;;;;;;;;;;
PHX;PGWPIR60;estoque;;;;;;;;;;;;;;;
PHC 01;111735;estoque;;;;;;;;;;;;;;;
CMR 14;FC284417;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 33;FC265015;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
FZG 03;12774998;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 111;SN098646;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
TFG 04;13843991;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 437;SN903936;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 439;SN519680;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 442;SN589367;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EDC 10;1368894;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 03;13724067;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 04;13718689;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DYG 05;13718800;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 101;SN313964;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 05;SN778696;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLG 02;13960849;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 01;SN693432;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 05;SN720821;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 107;SN762401;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PSG 03;14372527;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CJR 01;SD070522;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CJR 02;SD153275;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
UAR 01;FC290878;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 02;FC921558;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 03;FC014863;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 04;FC298274;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 05;FC164315;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 06;FC237457;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 07;FC926941;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 09;FC005834;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 10;FC142234;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 11;FC119505;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 12;FC926882;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 14;FC884592;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 15;FC225347;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 17;FC193686;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 18;FC147030;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 19;FC926585;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
UAR 20;FC119163;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
EDC 13;1371230;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
EDC 14;1370018;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 04;1294683;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 05;1294688;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 06;1294657;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 07;1294570;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 08;1294655;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 09;1294571;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTC 10;1294691;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
MTC 02;665635;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
FXG 02;12451815;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVG 01;12533111;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVG 02;12533182;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVG 03;12533214;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVG 04;12533147;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALG 03;12532693;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALG 04;12532627;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALG 05;12532603;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 02;619549;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTG 05;12588181;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALC 01;1582907;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALC 02;1582836;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALC 07;695306;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
JDG 01;12657426;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
JDG 03;12657424;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
JDG 04;12657434;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 03;454081;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 04;454623;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 05;453856;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 07;453740;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 09;453666;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
SVC 10;454567;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ALC 08;696188;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RDR 03;SN614596;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RDR 04;SN590291;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
STG 04;13252559;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
FTG 01;13264367;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
FTG 02;13264285;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RNG 01;13264252;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RNG 02;13264269;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
FTC 10;342300;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
POG 01;13496135;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
POG 02;13496095;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
POG 03;13496233;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RDG 01;13491247;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RDG 02;13490926;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
RDG 03;13490975;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
WFG 02;13491429;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
WFG 03;13491511;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
WFG 04;13491471;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
HNG 02;13791453;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
TFG 01;13840208;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
TFG 03;13840240;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
HNR 03;SV001907;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
HNR 04;SV005801;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 102;SN923059;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 114;SV001424;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
LMR 01;SV021173;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
LMR 02;SN612621;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
LMR 03;SN064318;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
TFR 03;SN924915;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GSG 01;13987759;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 108;SV021004;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
LMR 06;SN258731;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 104;SN583588;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CLR 50;SV058050;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
EVR 10;SN040760;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
GTG 15;13987656;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 04;SV158825;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 15;SV873524;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 02;SN992779;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 440;SV181107;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENG 03;14436950;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENG 05;14437029;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 05;SN193796;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 06;SV158860;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 10;SV163493;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENC 01;577507;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
DMG 03;14449673;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
NWG 11;14491616;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
PHG 01;14567536;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
PHG 02;14567497;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
PHG 03;14567589;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
PHG 04;14567558;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CER 02;SV874119;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
PHG 05;14567574;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
ENR 16;SN880056;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
TFR 10;SV216584;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 441;SV216593;grupo 2 DF;0.045;0.045;0.06;0.06;0.09;0.09;0.09;0.10;0.10;0.10;0.10;0.10;0.13;0.13;0.13
CMR 06;CW292163;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 20;FC911788;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.15;0.18;0.18
CMR 34;FC892885;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
UAR 16;FC060530;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
UAC 02;419317;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EDC 11;1365451;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EDC 12;1367525;grupo 3 RJ;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
