nome_da_maquininha;código da maquininha;grupo;débito;pré-pago débito;crédito;pré-pago crédito;taxa_credito_parcelado_2;taxa_credito_parcelado_3;taxa_credito_parcelado_4;taxa_credito_parcelado_5;taxa_credito_parcelado_6;taxa_credito_parcelado_7;taxa_credito_parcelado_8;taxa_credito_parcelado_9;taxa_credito_parcelado_10;taxa_credito_parcelado_11;taxa_credito_parcelado_12
SZR 04;SD093705;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SZR 05;SD012506;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVG 05;14495422;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVG 03;14495398;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DAG 01;14526092;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DAG 02;14526056;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DAG 03;14526037;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 01;SN320718;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 04;SN132181;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 02;SN402845;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 03;SN622007;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DAG 05;14526071;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PHC 02;1351427;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 08;SV216281;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 09;SV216588;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 05;SN785504;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 06;SN757224;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LTR 07;SN720188;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APG 01;14719154;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APG 02;14719171;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APG 03;14719132;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 11;14791887;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MAG 01;14771611;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MAG 02;14771627;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MAG 03;14771595;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MAG 04;14771605;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MAG 05;14771622;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APG 04;14719111;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CJR 03;SD080076;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CJR 04;SD006479;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LER 03;SD120497;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LER 04;SD147503;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
KBR 01;SN487701;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
KBR 02;SV212831;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
KBR 03;SN511322;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 500;SV228479;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
KBR 04;SN387869;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SDR 01;SN166020;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APR 01;SV238939;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SDG 01;14844134;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FCR 01;SN238648;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APR 02;SD035565;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APR 03;SD211997;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
APR 04;SD152658;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MXR 01;SN214340;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CER 03;SV001764;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
UAG 01;11321096;grupo 4 PE (2);;;;;;;;;;;;;;;
UAR 21;FC917485;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAR 22;FC915042;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
JEC 03;394909;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
GTG 03;12588165;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
ALG 09;12742437;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
RNC 08;288214;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
RNC 10;294829;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
HNR 07;SN457632;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
GBC 03;728180;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
OLG 04;14497646;grupo 5 BA;0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
JCR 01;SD119662;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
JCR 02;SD033004;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
LER 01;SD120825;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
LER 02;SD105231;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
JCG 01;14849032;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
DCG 01;14945308;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
ASG 01;14945261;grupo 6 SE;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.1;0.12;0.13;0.13;0.14;0.14
UAC 01;418936;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 03;418278;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 04;417311;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 05;417937;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 06;426115;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 07;425338;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 08;425104;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 09;424729;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 10;424443;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
UAC 16;424155;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
ALC 03;698877;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
ALC 04;698915;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
ALC 05;698498;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
ALC 06;692430;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
FTC 08;349847;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
RDC 01;87491;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
RDC 02;86481;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
RDC 05;86361;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
PSG 02;14372502;grupo BA (2);0.05;0.05;0.08;0.08;0.09;0.1;0.13;0.13;0.13;0.16;0.16;0.16;0.16;0.18;0.18
PSG 01;14372557;grupo BA (2);0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RYR 04;SN120003;grupo BA (2);0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVG 02;14495363;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVG 01;14495516;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JCR 03;SD189802;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JCR 04;SD023604;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LEG 02;14827477;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SDR 02;SD084407;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SDR 03;SD228640;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LAR 01;SV190913;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CER 01;SV187038;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
UAG 13;11320804;grupo hui;;;;;;;;;;;;;;;
UAG 14;11321112;grupo hui;;;;;;;;;;;;;;;
EDG 11;11647990;grupo hui;;;;;;;;;;;;;;;
SVG 05;12533130;grupo hui;;;;;;;;;;;;;;;
DSC 08;1669958;grupo hui;;;;;;;;;;;;;;;
LMR 05;SN103393;grupo hui;;;;;;;;;;;;;;;
SZG 04;14472255;grupo hui;;;;;;;;;;;;;;;
UAC 18;423047;grupo novo;;;;;;;;;;;;;;;
CMG 10;11252757;grupo SP (2);;;;;;;;;;;;;;;
CMG 11;11252779;grupo SP (2);;;;;;;;;;;;;;;
CMG 12;11252788;grupo SP (2);;;;;;;;;;;;;;;
CMG 13;11252797;grupo SP (2);;;;;;;;;;;;;;;
UAG 04;11320829;grupo SP (2);;;;;;;;;;;;;;;
UAG 05;11320746;grupo SP (2);;;;;;;;;;;;;;;
UAG 06;11244085;grupo SP (2);;;;;;;;;;;;;;;
UAR 23;FC259687;grupo SP (2);;;;;;;;;;;;;;;
UAR 24;FC201734;grupo SP (2);;;;;;;;;;;;;;;
CMC 02;1657946;grupo SP (2);;;;;;;;;;;;;;;
CMC 04;1657945;grupo SP (2);;;;;;;;;;;;;;;
UAC 17;423100;grupo SP (2);;;;;;;;;;;;;;;
EDG 14;11648068;grupo SP (2);;;;;;;;;;;;;;;
EDG 15;11648018;grupo SP (2);;;;;;;;;;;;;;;
EDC 19;1375215;grupo SP (2);;;;;;;;;;;;;;;
EDC 20;1375532;grupo SP (2);;;;;;;;;;;;;;;
EDC 21;1374664;grupo SP (2);;;;;;;;;;;;;;;
EDC 22;1372121;grupo SP (2);;;;;;;;;;;;;;;
FXC 10;734975;grupo SP (2);;;;;;;;;;;;;;;
AZG 03;12114185;grupo SP (2);;;;;;;;;;;;;;;
AZC 01;1435054;grupo SP (2);;;;;;;;;;;;;;;
AZC 02;1434633;grupo SP (2);;;;;;;;;;;;;;;
GTC 01;446696;grupo SP (2);;;;;;;;;;;;;;;
GTC 02;446403;grupo SP (2);;;;;;;;;;;;;;;
GTC 03;1294689;grupo SP (2);;;;;;;;;;;;;;;
MTC 01;665630;grupo SP (2);;;;;;;;;;;;;;;
MTC 10;663435;grupo SP (2);;;;;;;;;;;;;;;
AZG 11;12346063;grupo SP (2);;;;;;;;;;;;;;;
AZG 12;12346079;grupo SP (2);;;;;;;;;;;;;;;
AZG 13;12346104;grupo SP (2);;;;;;;;;;;;;;;
AZG 14;12346124;grupo SP (2);;;;;;;;;;;;;;;
FXG 05;12452279;grupo SP (2);;;;;;;;;;;;;;;
JEC 09;399254;grupo SP (2);;;;;;;;;;;;;;;
MTG 01;12302758;grupo SP (2);;;;;;;;;;;;;;;
SVG 06;12742647;grupo SP (2);;;;;;;;;;;;;;;
ALC 10;1726458;grupo SP (2);;;;;;;;;;;;;;;
ALC 12;1726454;grupo SP (2);;;;;;;;;;;;;;;
AZR 02;SN053763;grupo SP (2);;;;;;;;;;;;;;;
DSR 01 - BO;SN113105;grupo SP (2);;;;;;;;;;;;;;;
ATR 01;SN462553;grupo SP (2);;;;;;;;;;;;;;;
ATR 04;SN462778;grupo SP (2);;;;;;;;;;;;;;;
RDR 02;SN591879;grupo SP (2);;;;;;;;;;;;;;;
FTC 06;905002;grupo SP (2);;;;;;;;;;;;;;;
RNG 04;13257774;grupo SP (2);;;;;;;;;;;;;;;
RNG 05;13270210;grupo SP (2);;;;;;;;;;;;;;;
RNG 06;13270249;grupo SP (2);;;;;;;;;;;;;;;
RNC 04;253176;grupo SP (2);;;;;;;;;;;;;;;
CMG 06;11221121;grupo SP 25;;;;;;;;;;;;;;;
CMR 03;CW639361;grupo SP 25;;;;;;;;;;;;;;;
CMR 07;CW222621;grupo SP 25;;;;;;;;;;;;;;;
CMR 12;FC910390;grupo SP 25;;;;;;;;;;;;;;;
CMR 15;FC203801;grupo SP 25;;;;;;;;;;;;;;;
CMR 18;FC909609;grupo SP 25;;;;;;;;;;;;;;;
CMR 31;FC920225;grupo SP 25;;;;;;;;;;;;;;;
CMC 01;1547070;grupo SP 25;;;;;;;;;;;;;;;
CMR 37;FC218162;grupo SP 25;;;;;;;;;;;;;;;
CMR 38;FC899607;grupo SP 25;;;;;;;;;;;;;;;
CMR 40;FC907911;grupo SP 25;;;;;;;;;;;;;;;
CMC 03;1657944;grupo SP 25;;;;;;;;;;;;;;;
CMC 05;1657947;grupo SP 25;;;;;;;;;;;;;;;
UAC 11;416464;grupo SP 25;;;;;;;;;;;;;;;
UAC 12;416614;grupo SP 25;;;;;;;;;;;;;;;
UAC 13;416673;grupo SP 25;;;;;;;;;;;;;;;
UAC 14;417305;grupo SP 25;;;;;;;;;;;;;;;
UAR 26;FC226243;grupo SP 25;;;;;;;;;;;;;;;
UAC 19;419500;grupo SP 25;;;;;;;;;;;;;;;
EDG 01;11624495;grupo SP 25;;;;;;;;;;;;;;;
EDG 02;11624494;grupo SP 25;;;;;;;;;;;;;;;
EDG 03;11624514;grupo SP 25;;;;;;;;;;;;;;;
EDG 04;11624644;grupo SP 25;;;;;;;;;;;;;;;
EDG 05;11624513;grupo SP 25;;;;;;;;;;;;;;;
EDG 06;11647834;grupo SP 25;;;;;;;;;;;;;;;
EDG 07;11648049;grupo SP 25;;;;;;;;;;;;;;;
EDG 08;11647854;grupo SP 25;;;;;;;;;;;;;;;
EDG 09;11648069;grupo SP 25;;;;;;;;;;;;;;;
EDG 10;11648048;grupo SP 25;;;;;;;;;;;;;;;
EDC 02;1374532;grupo SP 25;;;;;;;;;;;;;;;
EDC 03;1374068;grupo SP 25;;;;;;;;;;;;;;;
EDC 04;1370614;grupo SP 25;;;;;;;;;;;;;;;
EDC 05;1367127;grupo SP 25;;;;;;;;;;;;;;;
EDC 23;1372316;grupo SP 25;;;;;;;;;;;;;;;
EDC 24;1366687;grupo SP 25;;;;;;;;;;;;;;;
EDC 25;1371678;grupo SP 25;;;;;;;;;;;;;;;
EDC 26;1367474;grupo SP 25;;;;;;;;;;;;;;;
EDC 27;1367625;grupo SP 25;;;;;;;;;;;;;;;
EDC 28;1367363;grupo SP 25;;;;;;;;;;;;;;;
EDC 29;1374631;grupo SP 25;;;;;;;;;;;;;;;
EDC 30;1365567;grupo SP 25;;;;;;;;;;;;;;;
UAR 28;FC889061;grupo SP 25;;;;;;;;;;;;;;;
FIX 08;443979;grupo SP 25;;;;;;;;;;;;;;;
FIX 09;444612;grupo SP 25;;;;;;;;;;;;;;;
FXC 17;733647;grupo SP 25;;;;;;;;;;;;;;;
FXC 16;734785;grupo SP 25;;;;;;;;;;;;;;;
FXC 18;735223;grupo SP 25;;;;;;;;;;;;;;;
AZG 05;12114218;grupo SP 25;;;;;;;;;;;;;;;
AZG 06;12114158;grupo SP 25;;;;;;;;;;;;;;;
AZG 08;12114327;grupo SP 25;;;;;;;;;;;;;;;
AZG 09;12114270;grupo SP 25;;;;;;;;;;;;;;;
AZG 10;12346166;grupo SP 25;;;;;;;;;;;;;;;
FXG 01;12451886;grupo SP 25;;;;;;;;;;;;;;;
FXG 03;12451903;grupo SP 25;;;;;;;;;;;;;;;
FXG 04;12148960;grupo SP 25;;;;;;;;;;;;;;;
FXG 06;12452239;grupo SP 25;;;;;;;;;;;;;;;
FXG 07;12451958;grupo SP 25;;;;;;;;;;;;;;;
UAC 20;416193;julia;;;;;;;;;;;;;;;
ALG 01;12532829;julia;;;;;;;;;;;;;;;
DSG 03;12774932;julia;;;;;;;;;;;;;;;
STR 01;SN032365;julia;;;;;;;;;;;;;;;
FTC 07;339845;julia;;;;;;;;;;;;;;;
RDG 04;13491122;julia;;;;;;;;;;;;;;;
CLR 03;SN978197;julia;;;;;;;;;;;;;;;
EVG 04;14495344;julia;0.035;0.035;0.055;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.12;0.12;0.12
CMR 443;SN206216;julia;0.035;0.035;0.055;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.12;0.12;0.12
MP 01;1070196;loja jing;;;;;;;;;;;;;;;
CMR 32;FC045280;loja tia;;;;;;;;;;;;;;;
AZR 03;SN050281;loja tia;;;;;;;;;;;;;;;
FZG 01;12774881;lu;;;;;;;;;;;;;;;
FTC 02;99244;lu;;;;;;;;;;;;;;;
GBC 04;1420048;madrugada (yang);;;;;;;;;;;;;;;
NWG 04;14490162;madrugada (yang);0.04;0.04;0.05;0.05;0.06;0.07;0.08;0.09;0.10;0.11;0.12;0.13;0.13;0.13;0.13
TFG 05;13844006;madrugada (yang);0.04;0.04;0.05;0.05;0.06;0.07;0.08;0.09;0.10;0.11;0.12;0.13;0.13;0.13;0.13
SZG 05;14472228;madrugada (yang);;;;;;;;;;;;;;;
FZG 04;12774883;madrugada(yang);;;;;;;;;;;;;;;
CMG 09;11254184;tang palace;;;;;;;;;;;;;;;
ENG 07;14437029;YaoYao;;;;;;;;;;;;;;;
LEG 01;14845212;YaoYao;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.11;0.12;0.13;0.13;0.14;0.14
LAR 02;SV876443;PA;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.11;0.12;0.13;0.13;0.14;0.14
CER 04;SV229065;Hong;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CEG 01;15014553;julia;0.035;0.035;0.055;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.12;0.12;0.12
CEG 02;15014547;hui;0.035;0.035;0.065;0.065;0.075;0.085;0.12;0.12;0.12;;;;;;
CEG 03;15014535;madrugada (yang);0.04;0.04;0.05;0.05;0.06;0.07;0.08;0.09;0.10;0.11;0.12;0.13;0.13;0.13;0.13
CEG 04;15014571;madrugada (yang);0.04;0.04;0.05;0.05;0.06;0.07;0.08;0.09;0.10;0.11;0.12;0.13;0.13;0.13;0.13